NOMJOGADOR;NUMCAMISA;NOMPOSICAO;NOMSELECAO
BROZOVIC;11;VOL;CROÁCIA
GRBIC;12;GOL;CROÁCIA
VLASIC;13;MEC;CROÁCIA
LIVAJA;14;ATA;CROÁCIA
PASALIC;15;MEC;CROÁCIA
PETKOVIC;16;ATA;CROÁCIA
BUDIMIR;17;ATA;CROÁCIA
ORSIC;18;ATA;CROÁCIA
SOSA;19;LAE;CROÁCIA
GVARDIOL;20;ZAE;CROÁCIA
VIDA;21;ZAD;CROÁCIA
JURANOVIC;22;LAD;CROÁCIA
IVUSIC;23;GOL;CROÁCIA
SUTALO;24;ZAD;CROÁCIA
SUCIC;25;VOL;CROÁCIA
JAKIC;26;VOL;CROÁCIA
JOGADOR GOL CONTRA;99;ATA;CROÁCIA
ALISSON;1;GOL;BRASIL
DANILO;2;LAD;BRASIL
THIAGO SILVA;3;ZAE;BRASIL
MARQUINHOS;4;ZAD;BRASIL
CASEMIRO;5;VOL;BRASIL
ALEX SANDRO;6;LAE;BRASIL
LUCAS PAQUETÁ;7;VOL;BRASIL
FRED;8;VOL;BRASIL
RICHARLISON;9;ATA;BRASIL
NEYMAR;10;MEC;BRASIL
RAPHINHA;11;ATA;BRASIL
WEVERTON;12;GOL;BRASIL
DANIEL ALVES;13;LAD;BRASIL
ÉDER MILITÃO;14;ZAD;BRASIL
FABINHO;15;VOL;BRASIL
ALEX TELLES;16;LAE;BRASIL
BRUNO GUIMARÃES;17;VOL;BRASIL
GABRIEL JESUS;18;ATA;BRASIL
ANTONY;19;ATA;BRASIL
VINI JR.;20;ATA;BRASIL
RODRYGO;21;ATA;BRASIL
EVERTON RIBEIRO;22;MEC;BRASIL
EDERSON;23;GOL;BRASIL
BREMER;24;ZAD;BRASIL
PEDRO;25;ATA;BRASIL
GABRIEL MARTINELLI;26;ATA;BRASIL
JOGADOR GOL CONTRA;99;ATA;BRASIL
DMITROVIC;1;GOL;SÉRVIA
PAVLOVIC;2;ZAE;SÉRVIA
ERAKOVIC;3;ZAD;SÉRVIA
MILENKOVIC;4;ZAD;SÉRVIA
VELJKOVIC;5;ZAG;SÉRVIA
MAKSIMOVIC;6;VOL;SÉRVIA
RADONJIC;7;MEC;SÉRVIA
GUDELJ;8;VOL;SÉRVIA
ALEKSANDAR MITROVIC;9;ATA;SÉRVIA
TADIC;10;ATA;SÉRVIA
JOVIC;11;ATA;SÉRVIA
RAJKOVIC;12;GOL;SÉRVIA
STEFAN MITROVIC;13;ZAD;SÉRVIA
ZIVKOVIC;14;MEC;SÉRVIA
BABIC;15;ZAE;SÉRVIA
LUKIC;16;VOL;SÉRVIA
KOSTIC;17;MEC;SÉRVIA
VLAHOVIC;18;ATA;SÉRVIA
RACIC;19;VOL;SÉRVIA
SERGEJ MILINKOVIC-SAVIC;20;MEC;SÉRVIA
DJURICIC;21;MEC;SÉRVIA
LAZOVIC;22;MEC;SÉRVIA
VANJA MILINKOVIC-SAVIC;23;GOL;SÉRVIA
ILIC;24;VOL;SÉRVIA
MLADENOVIC;25;MEC;SÉRVIA
GRUJIC;26;VOL;SÉRVIA
JOGADOR GOL CONTRA;99;ATA;SÉRVIA
SOMMER;1;GOL;SUIÇA
EDIMILSON FERNANDES;2;VOL;SUIÇA
WIDMER;3;LAD;SUIÇA
ELVEDI;4;ZAD;SUIÇA
AKANJI;5;ZAE;SUIÇA
ZAKARIA;6;VOL;SUIÇA
EMBOLO;7;ATA;SUIÇA
FREULER;8;VOL;SUIÇA
SEFEROVIC;9;ATA;SUIÇA
XHAKA;10;VOL;SUIÇA
STEFFEN;11;MEC;SUIÇA
OMLIN;12;GOL;SUIÇA
RICARDO RODRÍGUEZ;13;ZAE;SUIÇA
AEBISCHER;14;VOL;SUIÇA
SOW;15;VOL;SUIÇA
FASSNACHT;16;MEC;SUIÇA
VARGAS;17;ATA;SUIÇA
CÖMERT;18;ZAD;SUIÇA
OKAFOR;19;ATA;SUIÇA
FREI;20;VOL;SUIÇA
KOBEL;21;GOL;SUIÇA
SCHÄR;22;ZAD;SUIÇA
SHAQIRI;23;MEC;SUIÇA
KÖHN;24;GOL;SUIÇA
RIEDER;25;VOL;SUIÇA
JASHARI;26;VOL;SUIÇA
JOGADOR GOL CONTRA;99;ATA;SUIÇA
NGAPANDOUETNBU;1;GOL;CAMARÕES
MBEKELI;2;ATA;CAMARÕES
N´KOULOU;3;ZAE;CAMARÕES
WOOH;4;ZAD;CAMARÕES
ONDOUA;5;VOL;CAMARÕES
NGAMALEU;6;MEC;CAMARÕES
N´KOUDOU;7;ATA;CAMARÕES
ANGUISSA;8;VOL;CAMARÕES
NSAME;9;ATA;CAMARÕES
ABOUBAKAR;10;ATA;CAMARÕES
BASSOGOG;11;ATA;CAMARÕES
TOKO EKAMBI;12;ATA;CAMARÕES
CHOUPO-MOTING;13;ATA;CAMARÕES
OUM GOUET;14;VOL;CAMARÕES
KUNDE;15;VOL;CAMARÕES
EPASSY;16;GOL;CAMARÕES
MBAIZO;17;LAD;CAMARÕES
HONGLA;18;VOL;CAMARÕES
FAI;19;LAD;CAMARÕES
MBEUMO;20;ATA;CAMARÕES
CASTELLETTO;21;ZAD;CAMARÕES
NTCHAM;22;VOL;CAMARÕES
ONANA;23;GOL;CAMARÕES
EBOSSE;24;LAE;CAMARÕES
TOLO;25;LAE;CAMARÕES
MAROU;26;ATA;CAMARÕES
JOGADOR GOL CONTRA;99;ATA;CAMARÕES
RUI PATRÍCIO;1;GOL;PORTUGAL
DALOT;2;LAD;PORTUGAL
PEPE;3;ZAD;PORTUGAL
RÚBEN DIAS;4;ZAD;PORTUGAL
RAPHAËL GUERREIRO;5;LAE;PORTUGAL
JOÃO PALHINHA;6;VOL;PORTUGAL
CRISTIANO RONALDO;7;ATA;PORTUGAL
BRUNO FERNANDES;8;MEC;PORTUGAL
ANDRÉ SILVA;9;ATA;PORTUGAL
BERNARDO SILVA;10;ATA;PORTUGAL
JOÃO FÉLIX;11;ATA;PORTUGAL
JOSÉ SÁ;12;GOL;PORTUGAL
DANILO PEREIRA;13;ZAE;PORTUGAL
WILLIAM CARVALHO;14;VOL;PORTUGAL
RAFAEL LEÃO;15;ATA;PORTUGAL
VITINHA;16;VOL;PORTUGAL
JOÃO MÁRIO;17;VOL;PORTUGAL
RÚBEN NEVES;18;VOL;PORTUGAL
NUNO MENDES;19;LAE;PORTUGAL
JOÃO CANCELO;20;LAD;PORTUGAL
RICARDO HORTA;21;ATA;PORTUGAL
DIOGO COSTA;22;GOL;PORTUGAL
MATHEUS NUNES;23;VOL;PORTUGAL
ANTÓNIO SILVA;24;ZAD;PORTUGAL
OTÁVIO;25;MEC;PORTUGAL
GONÇALO RAMOS;26;ATA;PORTUGAL
JOGADOR GOL CONTRA;99;ATA;PORTUGAL
ATI ZIGI;1;GOL;GANA
LAMPTEY;2;LAD;GANA
ODOI;3;LAD;GANA
SALISU;4;ZAE;GANA
PARTEY;5;VOL;GANA
OWUSU;6;VOL;GANA
FATAWU;7;MEC;GANA
KYEREH;8;MEC;GANA
JORDAN AYEW;9;ATA;GANA
ANDRÉ AYEW;10;MEC;GANA
BUKARI;11;ATA;GANA
DANLAD;12;GOL;GANA
BARNIEH;13;ATA;GANA
MENSAH;14;LAE;GANA
AIDOO;15;ZAD;GANA
NURUDEEN;16;GOL;GANA
RAHMAN BABA;17;LAE;GANA
AMARTEY;18;ZAD;GANA
IÑAKI WILLIAMS;19;ATA;GANA
KUDUS;20;ATA;GANA
ABDUL SAMED;21;VOL;GANA
SULEMANA;22;ATA;GANA
DJIKU;23;ZAD;GANA
SOWAH;24;MEC;GANA
SEMENYO;25;ATA;GANA
SEIDU;26;LAD;GANA
JOGADOR GOL CONTRA;99;ATA;GANA
MUSLERA;1;GOL;URUGUAI
JOSÉ GIMÉNEZ;2;ZAE;URUGUAI
GODÍN;3;ZAD;URUGUAI
VECINO;5;VOL;URUGUAI
BENTANCUR;6;VOL;URUGUAI
DE LA CRUZ;7;VOL;URUGUAI
PELLISTRI;8;ATA;URUGUAI
LUIS SUÁREZ;9;ATA;URUGUAI
ARRASCAETA;10;MEC;URUGUAI
DARWIN NÚÑEZ;11;ATA;URUGUAI
SEBASTIÁN SOSA;12;GOL;URUGUAI
VARELA;13;LAD;URUGUAI
TORREIRA;14;VOL;URUGUAI
VALVERDE;15;MEC;URUGUAI
MATHÍAS OLIVERA;16;LAE;URUGUAI
VIÑA;17;LAE;URUGUAI
MAXI GÓMEZ;18;ATA;URUGUAI
COATES;19;ZAD;URUGUAI
FACUNDO TORRES;20;ATA;URUGUAI
CAVANI;21;ATA;URUGUAI
MARTÍN CÁCERES;22;LAD;URUGUAI
ROCHET;23;GOL;URUGUAI
CANOBBIO;24;ATA;URUGUAI
UGARTE;25;VOL;URUGUAI
JOSÉ RODRÍGUEZ;26;LAD;URUGUAI
JOGADOR GOL CONTRA;99;ATA;URUGUAI
KIM SEUNG-GYU;1;GOL;COREIA DO SUL
YOON JONG-GYU;2;LAD;COREIA DO SUL
KIM JIN-SU;3;LAE;COREIA DO SUL
KIM MIN-JAE;4;ZAE;COREIA DO SUL
JUNG WOO-YOUNG;5;VOL;COREIA DO SUL
HWANG IN-BEOM;6;VOL;COREIA DO SUL
SON HEUNG-MIN;7;ATA;COREIA DO SUL
PAIK SEUNG-HO;8;VOL;COREIA DO SUL
CHO GUE-SUNG;9;ATA;COREIA DO SUL
LEE JAE-SUNG;10;MEC;COREIA DO SUL
HWANG HEE-CHAN;11;ATA;COREIA DO SUL
SONG BUM-KEUN;12;GOL;COREIA DO SUL
SON JUN-HO;13;VOL;COREIA DO SUL
HONG CHUL;14;LAE;COREIA DO SUL
KIM MOON-HWAN;15;LAD;COREIA DO SUL
HWANG UI-JO;16;ATA;COREIA DO SUL
NA SANG-HO;17;ATA;COREIA DO SUL
LEE KANG-IN;18;MEC;COREIA DO SUL
KIM YOUNG-GWON;19;ZAD;COREIA DO SUL
KWON KYUNG-WON;20;ZAE;COREIA DO SUL
JO HYEON-WOO;21;GOL;COREIA DO SUL
KWON CHANG-HOON;22;MEC;COREIA DO SUL
KIM TAE-HWAN;23;LAD;COREIA DO SUL
CHO YU-MIN;24;ZAD;COREIA DO SUL
JEONG WOO-YEONG;25;ATA;COREIA DO SUL
SONG MIN-KYU;26;ATA;COREIA DO SUL
JOGADOR GOL CONTRA;99;ATA;COREIA DO SUL
