NOMFASE;NUMRODADA;NOMSELECAO;NOMJOGADOR;NOMPOSICAO;NUMCAMISA;INDTITULARIDADE
FASE DE GRUPO;3ª RODADA;SENEGAL;NICOLAS JACKSON;ATA;7;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;BOULAYE DIA;ATA;9;TITULAR
FASE DE GRUPO;3ª RODADA;SENEGAL;BAMBA DIENG;ATA;20;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;ISMAILA SARR;ATA;18;TITULAR
FASE DE GRUPO;3ª RODADA;SENEGAL;SENY DIENG;GOL;1;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;GOMIS;GOL;23;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;FORMOSE MENDY;ZAD;2;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;MOUSSA N´DIAYE;LAE;10;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;BALLO-TOURÉ;LAE;12;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;CISS;VOL;11;TITULAR
FASE DE GRUPO;3ª RODADA;SENEGAL;PAPE SARR;VOL;17;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;NAME;VOL;24;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;LOUM NDIAYE;VOL;25;RESERVA
FASE DE GRUPO;3ª RODADA;SENEGAL;ILIMAN NDIAYE;MEC;13;TITULAR
FASE DE GRUPO;3ª RODADA;SENEGAL;DIÉDHIOU;ATA;19;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;PICKFORD;GOL;1;TITULAR
FASE DE GRUPO;1ª RODADA;INGLATERRA;TRIPPIER;LAD;12;TITULAR
FASE DE GRUPO;1ª RODADA;INGLATERRA;STONES;ZAD;5;TITULAR
FASE DE GRUPO;1ª RODADA;INGLATERRA;MAGUIRE;ZAE;6;TITULAR
FASE DE GRUPO;1ª RODADA;INGLATERRA;DIER;ZAD;15;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;SHAW;LAE;3;TITULAR
FASE DE GRUPO;1ª RODADA;INGLATERRA;RICE;VOL;4;TITULAR
FASE DE GRUPO;1ª RODADA;INGLATERRA;BELLINGHAM;VOL;22;TITULAR
FASE DE GRUPO;1ª RODADA;INGLATERRA;STERLING;MEC;10;TITULAR
FASE DE GRUPO;1ª RODADA;INGLATERRA;GREALISH;MEC;7;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;SAKA;MEC;17;TITULAR
FASE DE GRUPO;1ª RODADA;INGLATERRA;RASHFORD;ATA;11;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;MOUNT;MEC;19;TITULAR
FASE DE GRUPO;1ª RODADA;INGLATERRA;FODEN;MEC;20;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;HARRY KANE;ATA;9;TITULAR
FASE DE GRUPO;1ª RODADA;INGLATERRA;CALLUM WILSON;ATA;24;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;POPE;GOL;13;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;RAMSDALE;GOL;23;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;WALKER;LAD;2;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;ALEXANDER-ARNOLD;LAD;18;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;COADY;ZAD;16;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;WHITE;ZAD;21;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;HENDERSON;VOL;8;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;KALVIN PHILLIPS;VOL;14;RESERVA
FASE DE GRUPO;1ª RODADA;INGLATERRA;GALLAGHER;VOL;26;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;BEIRANVAND;GOL;1;TITULAR
FASE DE GRUPO;1ª RODADA;IRÃ;HOSSEIN HOSSEINI;GOL;24;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;MOHARRAMI;LAD;2;TITULAR
FASE DE GRUPO;1ª RODADA;IRÃ;CHESHMI;ZAD;15;TITULAR
FASE DE GRUPO;1ª RODADA;IRÃ;KANAANI;ZAD;13;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;MAJID HOSSEINI;ZAE;19;TITULAR
FASE DE GRUPO;1ª RODADA;IRÃ;MOHAMMADI;LAE;5;TITULAR
FASE DE GRUPO;1ª RODADA;IRÃ;TORABI;MEC;16;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;HAJSAFI;VOL;3;TITULAR
FASE DE GRUPO;1ª RODADA;IRÃ;NOUROLLAHI;MEC;21;TITULAR
FASE DE GRUPO;1ª RODADA;IRÃ;AZMOUN;ATA;20;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;KARIMI;MEC;18;TITULAR
FASE DE GRUPO;1ª RODADA;IRÃ;EZATOLAHI;VOL;6;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;POURALIGANJI;ATA;8;TITULAR
FASE DE GRUPO;1ª RODADA;IRÃ;TAREMI;ATA;9;TITULAR
FASE DE GRUPO;1ª RODADA;IRÃ;JAHANBAKHSH;ATA;7;TITULAR
FASE DE GRUPO;1ª RODADA;IRÃ;GHOLIZADEH;MEC;17;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;NIAZMAND;GOL;12;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;ABEDZADEH;GOL;22;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;REZAEIAN;LAD;23;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;KHALILZADEH;ZAD;4;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;JALALI;LAE;25;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;AMIRI;MEC;11;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;GHODDOS;MEC;14;RESERVA
FASE DE GRUPO;1ª RODADA;IRÃ;ANSARIFARD;ATA;10;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;TURNER;GOL;1;TITULAR
FASE DE GRUPO;1ª RODADA;EUA;DEST;LAD;2;TITULAR
FASE DE GRUPO;1ª RODADA;EUA;YEDLIN;LAD;22;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;ZIMMERMAN;ZAD;3;TITULAR
FASE DE GRUPO;1ª RODADA;EUA;REAM;ZAE;13;TITULAR
FASE DE GRUPO;1ª RODADA;EUA;ROBINSON;LAE;5;TITULAR
FASE DE GRUPO;1ª RODADA;EUA;ADAMS;VOL;4;TITULAR
FASE DE GRUPO;1ª RODADA;EUA;MCKENNIE;VOL;8;TITULAR
FASE DE GRUPO;1ª RODADA;EUA;AARONSON;MEC;11;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;MUSAH;VOL;6;TITULAR
FASE DE GRUPO;1ª RODADA;EUA;ACOSTA;VOL;23;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;WEAH;ATA;21;TITULAR
FASE DE GRUPO;1ª RODADA;EUA;MORRIS;ATA;16;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;SARGENT;ATA;24;TITULAR
FASE DE GRUPO;1ª RODADA;EUA;WRIGHT;ATA;19;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;PULISIC;ATA;10;TITULAR
FASE DE GRUPO;1ª RODADA;EUA;HORVATH;GOL;12;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;JOHNSON;GOL;25;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;MOORE;LAD;18;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;SCALLY;LAD;26;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;LONG;ZAD;15;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;CARTER-VICKERS;ZAD;20;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;DE LA TORRE;VOL;14;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;ROLDÁN;VOL;17;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;REYNA;MEC;7;RESERVA
FASE DE GRUPO;1ª RODADA;EUA;JESÚS FERREIRA;ATA;9;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;HENNESSEY;GOL;1;TITULAR
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;MEPHAM;ZAD;5;TITULAR
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;RODON;ZAG;6;TITULAR
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;BEN DAVIES;ZAE;4;TITULAR
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;CONNOR ROBERTS;LAD;14;TITULAR
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;AMPADU;VOL;15;TITULAR
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;MORRELL;VOL;16;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;RAMSEY;MEC;10;TITULAR
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;HARRY WILSON;MEC;8;TITULAR
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;SORBA THOMAS;ATA;22;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;NECO WILLIAMS;LAE;3;TITULAR
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;BRENNAN JOHNSON;ATA;9;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;BALE;ATA;11;TITULAR
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;DANIEL JAMES;ATA;20;TITULAR
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;MOORE;ATA;13;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;WARD;GOL;12;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;ADAM DAVIES;GOL;21;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;GUNTER;LAD;2;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;LOCKYER;ZAD;17;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;CABANGO;ZAD;24;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;ALLEN;VOL;7;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;LEVITT;VOL;23;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;MATT SMITH;VOL;26;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;JONATHAN WILLIAMS;MEC;18;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;COLWILL;MEC;25;RESERVA
FASE DE GRUPO;1ª RODADA;PAÍS DE GALES;HARRIS;ATA;19;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;BEIRANVAND;GOL;1;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;HOSSEIN HOSSEINI;GOL;24;TITULAR
FASE DE GRUPO;2ª RODADA;IRÃ;MOHARRAMI;LAD;2;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;CHESHMI;ZAD;15;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;KANAANI;ZAD;13;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;MAJID HOSSEINI;ZAE;19;TITULAR
FASE DE GRUPO;2ª RODADA;IRÃ;MOHAMMADI;LAE;5;TITULAR
FASE DE GRUPO;2ª RODADA;IRÃ;TORABI;MEC;16;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;HAJSAFI;VOL;3;TITULAR
FASE DE GRUPO;2ª RODADA;IRÃ;NOUROLLAHI;MEC;21;TITULAR
FASE DE GRUPO;2ª RODADA;IRÃ;AZMOUN;ATA;20;TITULAR
FASE DE GRUPO;2ª RODADA;IRÃ;KARIMI;MEC;18;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;EZATOLAHI;VOL;6;TITULAR
FASE DE GRUPO;2ª RODADA;IRÃ;POURALIGANJI;ATA;8;TITULAR
FASE DE GRUPO;2ª RODADA;IRÃ;TAREMI;ATA;9;TITULAR
FASE DE GRUPO;2ª RODADA;IRÃ;JAHANBAKHSH;ATA;7;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;GHOLIZADEH;MEC;17;TITULAR
FASE DE GRUPO;2ª RODADA;IRÃ;NIAZMAND;GOL;12;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;ABEDZADEH;GOL;22;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;REZAEIAN;LAD;23;TITULAR
FASE DE GRUPO;2ª RODADA;IRÃ;KHALILZADEH;ZAD;4;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;JALALI;LAE;25;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;AMIRI;MEC;11;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;GHODDOS;MEC;14;RESERVA
FASE DE GRUPO;2ª RODADA;IRÃ;ANSARIFARD;ATA;10;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;HENNESSEY;GOL;1;TITULAR
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;MEPHAM;ZAD;5;TITULAR
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;RODON;ZAG;6;TITULAR
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;BEN DAVIES;ZAE;4;TITULAR
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;CONNOR ROBERTS;LAD;14;TITULAR
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;AMPADU;VOL;15;TITULAR
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;MORRELL;VOL;16;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;RAMSEY;MEC;10;TITULAR
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;HARRY WILSON;MEC;8;TITULAR
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;SORBA THOMAS;ATA;22;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;NECO WILLIAMS;LAE;3;TITULAR
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;BRENNAN JOHNSON;ATA;9;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;BALE;ATA;11;TITULAR
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;DANIEL JAMES;ATA;20;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;MOORE;ATA;13;TITULAR
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;WARD;GOL;12;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;ADAM DAVIES;GOL;21;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;GUNTER;LAD;2;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;LOCKYER;ZAD;17;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;CABANGO;ZAD;24;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;ALLEN;VOL;7;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;LEVITT;VOL;23;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;MATT SMITH;VOL;26;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;JONATHAN WILLIAMS;MEC;18;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;COLWILL;MEC;25;RESERVA
FASE DE GRUPO;2ª RODADA;PAÍS DE GALES;HARRIS;ATA;19;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;PICKFORD;GOL;1;TITULAR
FASE DE GRUPO;2ª RODADA;INGLATERRA;TRIPPIER;LAD;12;TITULAR
FASE DE GRUPO;2ª RODADA;INGLATERRA;STONES;ZAD;5;TITULAR
FASE DE GRUPO;2ª RODADA;INGLATERRA;MAGUIRE;ZAE;6;TITULAR
FASE DE GRUPO;2ª RODADA;INGLATERRA;DIER;ZAD;15;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;SHAW;LAE;3;TITULAR
FASE DE GRUPO;2ª RODADA;INGLATERRA;RICE;VOL;4;TITULAR
FASE DE GRUPO;2ª RODADA;INGLATERRA;BELLINGHAM;VOL;22;TITULAR
FASE DE GRUPO;2ª RODADA;INGLATERRA;STERLING;MEC;10;TITULAR
FASE DE GRUPO;2ª RODADA;INGLATERRA;GREALISH;MEC;7;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;SAKA;MEC;17;TITULAR
FASE DE GRUPO;2ª RODADA;INGLATERRA;RASHFORD;ATA;11;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;MOUNT;MEC;19;TITULAR
FASE DE GRUPO;2ª RODADA;INGLATERRA;FODEN;MEC;20;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;HARRY KANE;ATA;9;TITULAR
FASE DE GRUPO;2ª RODADA;INGLATERRA;CALLUM WILSON;ATA;24;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;POPE;GOL;13;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;RAMSDALE;GOL;23;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;WALKER;LAD;2;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;ALEXANDER-ARNOLD;LAD;18;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;COADY;ZAD;16;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;WHITE;ZAD;21;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;HENDERSON;VOL;8;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;KALVIN PHILLIPS;VOL;14;RESERVA
FASE DE GRUPO;2ª RODADA;INGLATERRA;GALLAGHER;VOL;26;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;TURNER;GOL;1;TITULAR
FASE DE GRUPO;2ª RODADA;EUA;DEST;LAD;2;TITULAR
FASE DE GRUPO;2ª RODADA;EUA;YEDLIN;LAD;22;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;ZIMMERMAN;ZAD;3;TITULAR
FASE DE GRUPO;2ª RODADA;EUA;REAM;ZAE;13;TITULAR
FASE DE GRUPO;2ª RODADA;EUA;ROBINSON;LAE;5;TITULAR
FASE DE GRUPO;2ª RODADA;EUA;ADAMS;VOL;4;TITULAR
FASE DE GRUPO;2ª RODADA;EUA;MCKENNIE;VOL;8;TITULAR
FASE DE GRUPO;2ª RODADA;EUA;AARONSON;MEC;11;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;MUSAH;VOL;6;TITULAR
FASE DE GRUPO;2ª RODADA;EUA;ACOSTA;VOL;23;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;WEAH;ATA;21;TITULAR
FASE DE GRUPO;2ª RODADA;EUA;MORRIS;ATA;16;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;SARGENT;ATA;24;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;WRIGHT;ATA;19;TITULAR
FASE DE GRUPO;2ª RODADA;EUA;PULISIC;ATA;10;TITULAR
FASE DE GRUPO;2ª RODADA;EUA;HORVATH;GOL;12;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;JOHNSON;GOL;25;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;MOORE;LAD;18;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;SCALLY;LAD;26;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;LONG;ZAD;15;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;CARTER-VICKERS;ZAD;20;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;DE LA TORRE;VOL;14;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;ROLDÁN;VOL;17;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;REYNA;MEC;7;RESERVA
FASE DE GRUPO;2ª RODADA;EUA;JESÚS FERREIRA;ATA;9;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;PICKFORD;GOL;1;TITULAR
FASE DE GRUPO;3ª RODADA;INGLATERRA;TRIPPIER;LAD;12;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;STONES;ZAD;5;TITULAR
FASE DE GRUPO;3ª RODADA;INGLATERRA;MAGUIRE;ZAE;6;TITULAR
FASE DE GRUPO;3ª RODADA;INGLATERRA;DIER;ZAD;15;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;SHAW;LAE;3;TITULAR
FASE DE GRUPO;3ª RODADA;INGLATERRA;RICE;VOL;4;TITULAR
FASE DE GRUPO;3ª RODADA;INGLATERRA;BELLINGHAM;VOL;22;TITULAR
FASE DE GRUPO;3ª RODADA;INGLATERRA;STERLING;MEC;10;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;GREALISH;MEC;7;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;SAKA;MEC;17;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;RASHFORD;ATA;11;TITULAR
FASE DE GRUPO;3ª RODADA;INGLATERRA;MOUNT;MEC;19;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;FODEN;MEC;20;TITULAR
FASE DE GRUPO;3ª RODADA;INGLATERRA;HARRY KANE;ATA;9;TITULAR
FASE DE GRUPO;3ª RODADA;INGLATERRA;CALLUM WILSON;ATA;24;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;POPE;GOL;13;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;RAMSDALE;GOL;23;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;WALKER;LAD;2;TITULAR
FASE DE GRUPO;3ª RODADA;INGLATERRA;ALEXANDER-ARNOLD;LAD;18;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;COADY;ZAD;16;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;WHITE;ZAD;21;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;HENDERSON;VOL;8;TITULAR
FASE DE GRUPO;3ª RODADA;INGLATERRA;KALVIN PHILLIPS;VOL;14;RESERVA
FASE DE GRUPO;3ª RODADA;INGLATERRA;GALLAGHER;VOL;26;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;HENNESSEY;GOL;1;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;MEPHAM;ZAD;5;TITULAR
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;RODON;ZAG;6;TITULAR
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;BEN DAVIES;ZAE;4;TITULAR
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;CONNOR ROBERTS;LAD;14;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;AMPADU;VOL;15;TITULAR
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;MORRELL;VOL;16;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;RAMSEY;MEC;10;TITULAR
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;HARRY WILSON;MEC;8;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;SORBA THOMAS;ATA;22;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;NECO WILLIAMS;LAE;3;TITULAR
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;BRENNAN JOHNSON;ATA;9;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;BALE;ATA;11;TITULAR
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;DANIEL JAMES;ATA;20;TITULAR
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;MOORE;ATA;13;TITULAR
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;WARD;GOL;12;TITULAR
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;ADAM DAVIES;GOL;21;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;GUNTER;LAD;2;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;LOCKYER;ZAD;17;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;CABANGO;ZAD;24;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;ALLEN;VOL;7;TITULAR
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;LEVITT;VOL;23;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;MATT SMITH;VOL;26;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;JONATHAN WILLIAMS;MEC;18;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;COLWILL;MEC;25;RESERVA
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;HARRIS;ATA;19;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;BEIRANVAND;GOL;1;TITULAR
FASE DE GRUPO;3ª RODADA;IRÃ;HOSSEIN HOSSEINI;GOL;24;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;MOHARRAMI;LAD;2;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;CHESHMI;ZAD;15;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;KANAANI;ZAD;13;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;MAJID HOSSEINI;ZAE;19;TITULAR
FASE DE GRUPO;3ª RODADA;IRÃ;MOHAMMADI;LAE;5;TITULAR
FASE DE GRUPO;3ª RODADA;IRÃ;TORABI;MEC;16;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;HAJSAFI;VOL;3;TITULAR
FASE DE GRUPO;3ª RODADA;IRÃ;NOUROLLAHI;MEC;21;TITULAR
FASE DE GRUPO;3ª RODADA;IRÃ;AZMOUN;ATA;20;TITULAR
FASE DE GRUPO;3ª RODADA;IRÃ;KARIMI;MEC;18;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;EZATOLAHI;VOL;6;TITULAR
FASE DE GRUPO;3ª RODADA;IRÃ;POURALIGANJI;ATA;8;TITULAR
FASE DE GRUPO;3ª RODADA;IRÃ;TAREMI;ATA;9;TITULAR
FASE DE GRUPO;3ª RODADA;IRÃ;JAHANBAKHSH;ATA;7;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;GHOLIZADEH;MEC;17;TITULAR
FASE DE GRUPO;3ª RODADA;IRÃ;NIAZMAND;GOL;12;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;ABEDZADEH;GOL;22;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;REZAEIAN;LAD;23;TITULAR
FASE DE GRUPO;3ª RODADA;IRÃ;KHALILZADEH;ZAD;4;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;JALALI;LAE;25;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;AMIRI;MEC;11;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;GHODDOS;MEC;14;RESERVA
FASE DE GRUPO;3ª RODADA;IRÃ;ANSARIFARD;ATA;10;RESERVA
FASE DE GRUPO;3ª RODADA;EUA;TURNER;GOL;1;TITULAR
FASE DE GRUPO;3ª RODADA;EUA;DEST;LAD;2;TITULAR
FASE DE GRUPO;3ª RODADA;EUA;YEDLIN;LAD;22;RESERVA
FASE DE GRUPO;3ª RODADA;EUA;ZIMMERMAN;ZAD;3;RESERVA
FASE DE GRUPO;3ª RODADA;EUA;REAM;ZAE;13;TITULAR
FASE DE GRUPO;3ª RODADA;EUA;ROBINSON;LAE;5;TITULAR
FASE DE GRUPO;3ª RODADA;EUA;ADAMS;VOL;4;TITULAR
