NOMFASE;NUMRODADA;NOMSELECAO;NOMJOGADORSUBSTITUIDO;NOMJOGADORSUBSTITUTO;DTHSUBSTITUICAO;INDTEMPOJOGO;INDLESAO
FASE DE GRUPO;2ª RODADA;BÉLGICA;BATSHUAYI;DE KETELAERE;2022-11-27 12:30:00;2;NÃO
FASE DE GRUPO;2ª RODADA;BÉLGICA;THORGAN HAZARD;TROSSARD;2022-11-27 12:30:00;2;NÃO
FASE DE GRUPO;2ª RODADA;MORROCOS;OUNAHI;EL YAMIQ;2022-11-27 12:33:00;2;NÃO
FASE DE GRUPO;2ª RODADA;BÉLGICA;MEUNIER;LUKAKU;2022-11-27 12:35:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CANADA;LARIN;OSORIO;2022-11-27 14:00:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CANADA;EUSTÁQUIO;KONÉ;2022-11-27 14:00:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CROÁCIA;LIVAJA;PETKOVIC;2022-11-27 14:14:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CANADA;LARYEA;HOILETT;2022-11-27 14:16:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CANADA;JONATHAN DAVID;CAVALLINI;2022-11-27 14:27:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CANADA;HUTCHINSON;ADEKUGBE;2022-11-27 14:28:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CROÁCIA;PERISIC;ORSIC;2022-11-27 14:40:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CROÁCIA;MODRIC;PASALIC;2022-11-27 14:41:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CROÁCIA;KOVACIC;MAJER;2022-11-27 14:42:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ESPANHA;FERRÁN TORRES;MORATA;2022-11-27 17:08:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ESPANHA;GAVI;KOKE;2022-11-27 17:20:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ESPANHA;ASENSIO;NICO WILLIAMS;2022-11-27 17:20:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ALEMANHA;GÜNDOGAN;FÜLLKRUG;2022-11-27 17:24:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ALEMANHA;KEHRER;KLOSTERMANN;2022-11-27 17:24:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ALEMANHA;THOMAS MÜLLER;SANÉ;2022-11-27 17:24:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ESPANHA;ALBA;ÁLEX BALDE;2022-11-27 17:37:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ALEMANHA;GNABRY;HOFMANN;2022-11-27 17:39:00;2;NÃO
FASE DE GRUPO;2ª RODADA;ALEMANHA;RAUM;SCHLOTTERBECK;2022-11-27 17:41:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CAMARÕES;HONGLA;ABOUBAKAR;2022-11-28 08:09:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SÉRVIA;PAVLOVIC;STEFAN MITROVIC;2022-11-28 08:10:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CAMARÕES;KUNDE;BASSOGOG;2022-11-28 08:22:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CAMARÕES;TOKO EKAMBI;ONDOUA;2022-11-28 08:23:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SÉRVIA;ZIVKOVIC;RADONJIC;2022-11-28 08:32:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SÉRVIA;VELJKOVIC;BABIC;2022-11-28 08:33:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SÉRVIA;SERGEJ MILINKOVIC-SAVIC;GRUJIC;2022-11-28 08:33:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CAMARÕES;ANGUISSA;OUM GOUET;2022-11-28 08:35:00;2;NÃO
FASE DE GRUPO;2ª RODADA;CAMARÕES;MBEUMO;N´KOUDOU;2022-11-28 08:35:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SÉRVIA;KOSTIC;DJURICIC;2022-11-28 08:46:00;2;NÃO
FASE DE GRUPO;2ª RODADA;COREIA DO SUL;JEONG WOO-YEONG;NA SANG-HO;2022-11-28 11:00:00;2;NÃO
FASE DE GRUPO;2ª RODADA;COREIA DO SUL;KWON CHANG-HOON;LEE KANG-IN;2022-11-28 11:11:00;2;NÃO
FASE DE GRUPO;2ª RODADA;COREIA DO SUL;JUNG WOO-YOUNG;HWANG UI-JO;2022-11-28 11:34:00;2;NÃO
FASE DE GRUPO;2ª RODADA;GANA;LAMPTEY;ODOI;2022-11-28 11:34:00;2;NÃO
FASE DE GRUPO;2ª RODADA;GANA;JORDAN AYEW;SULEMANA;2022-11-28 11:34:00;2;NÃO
FASE DE GRUPO;2ª RODADA;GANA;ANDRÉ AYEW;KYEREH;2022-11-28 11:34:00;2;NÃO
FASE DE GRUPO;2ª RODADA;GANA;KUDUS;DJIKU;2022-11-28 11:37:00;2;NÃO
FASE DE GRUPO;2ª RODADA;GANA;MENSAH;RAHMAN BABA;2022-11-28 11:42:00;2;NÃO
FASE DE GRUPO;2ª RODADA;COREIA DO SUL;KIM MIN-JAE;KWON KYUNG-WON;2022-11-28 11:46:00;2;NÃO
FASE DE GRUPO;2ª RODADA;BRASIL;LUCAS PAQUETÁ;RODRYGO;2022-11-28 14:00:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SUIÇA;VARGAS;EDIMILSON FERNANDES;2022-11-28 14:12:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SUIÇA;RIEDER;STEFFEN;2022-11-28 14:13:00;2;NÃO
FASE DE GRUPO;2ª RODADA;BRASIL;RAPHINHA;ANTONY;2022-11-28 14:27:00;2;NÃO
FASE DE GRUPO;2ª RODADA;BRASIL;RICHARLISON;GABRIEL JESUS;2022-11-28 14:27:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SUIÇA;EMBOLO;SEFEROVIC;2022-11-28 14:29:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SUIÇA;SOW;AEBISCHER;2022-11-28 14:29:00;2;NÃO
FASE DE GRUPO;2ª RODADA;SUIÇA;WIDMER;FREI;2022-11-28 14:40:00;2;NÃO
FASE DE GRUPO;2ª RODADA;BRASIL;ALEX SANDRO;ALEX TELLES;2022-11-28 14:40:00;2;NÃO
FASE DE GRUPO;2ª RODADA;PORTUGAL;NUNO MENDES;RAPHAËL GUERREIRO;2022-11-28 16:41:00;1;NÃO
FASE DE GRUPO;2ª RODADA;URUGUAI;GODÍN;PELLISTRI;2022-11-28 17:17:00;2;NÃO
FASE DE GRUPO;2ª RODADA;URUGUAI;VECINO;ARRASCAETA;2022-11-28 17:17:00;2;NÃO
FASE DE GRUPO;2ª RODADA;PORTUGAL;RÚBEN NEVES;RAFAEL LEÃO;2022-11-28 17:23:00;2;NÃO
FASE DE GRUPO;2ª RODADA;URUGUAI;CAVANI;LUIS SUÁREZ;2022-11-28 17:26:00;2;NÃO
FASE DE GRUPO;2ª RODADA;URUGUAI;DARWIN NÚÑEZ;MAXI GÓMEZ;2022-11-28 17:27:00;2;NÃO
FASE DE GRUPO;2ª RODADA;PORTUGAL;CRISTIANO RONALDO;GONÇALO RAMOS;2022-11-28 17:36:00;2;NÃO
FASE DE GRUPO;2ª RODADA;PORTUGAL;JOÃO FÉLIX;MATHEUS NUNES;2022-11-28 17:36:00;2;NÃO
FASE DE GRUPO;2ª RODADA;PORTUGAL;WILLIAM CARVALHO;JOÃO PALHINHA;2022-11-28 17:36:00;2;NÃO
FASE DE GRUPO;2ª RODADA;URUGUAI;MATHÍAS OLIVERA;VIÑA;2022-11-28 17:40:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CATAR;ALMOEZ ALI;MUNTARI;2022-11-29 13:18:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CATAR;MADIBO;BOUDIAF;2022-11-29 13:18:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CATAR;AL-HAYDOS;ALI ASAD;2022-11-29 13:19:00;2;NÃO
FASE DE GRUPO;3ª RODADA;HOLANDA;MEMPHIS DEPAY;JANSSEN;2022-11-29 13:20:00;2;NÃO
FASE DE GRUPO;3ª RODADA;HOLANDA;KLAASSEN;BERGHUIS;2022-11-29 13:21:00;2;NÃO
FASE DE GRUPO;3ª RODADA;SENEGAL;CISS;NAMPALYS MENDY;2022-11-29 13:28:00;2;NÃO
FASE DE GRUPO;3ª RODADA;SENEGAL;ILIMAN NDIAYE;BAMBA DIENG;2022-11-29 13:28:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CATAR;HATIM;KHIDIR;2022-11-29 13:39:00;2;NÃO
FASE DE GRUPO;3ª RODADA;EQUADOR;ÁNGELO PRECIADO;POROZO;2022-11-29 13:39:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CATAR;ISMAEEL MOHAMMED;MOHAMMED WAAD;2022-11-29 13:40:00;2;NÃO
FASE DE GRUPO;3ª RODADA;HOLANDA;FRENKIE DE JONG;TAYLOR;2022-11-29 13:42:00;2;NÃO
FASE DE GRUPO;3ª RODADA;SENEGAL;BOULAYE DIA;CISSÉ;2022-11-29 13:49:00;2;NÃO
FASE DE GRUPO;3ª RODADA;EQUADOR;ALAN FRANCO;SARMIENTO;2022-11-29 14:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;EQUADOR;GRUEZO;CIFUENTES;2022-11-29 14:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;EQUADOR;ESTRADA;REASCO;2022-11-29 14:18:00;2;NÃO
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;NECO WILLIAMS;CONNOR ROBERTS;2022-11-29 16:35:00;1;NÃO
FASE DE GRUPO;3ª RODADA;IRÃ;MOHAMMADI;KARIMI;2022-11-29 16:47:00;1;NÃO
FASE DE GRUPO;3ª RODADA;IRÃ;AZMOUN;GHODDOS;2022-11-29 17:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;BALE;BRENNAN JOHNSON;2022-11-29 17:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;EUA;PULISIC;AARONSON;2022-11-29 17:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;INGLATERRA;WALKER;ALEXANDER-ARNOLD;2022-11-29 17:11:00;2;NÃO
FASE DE GRUPO;3ª RODADA;INGLATERRA;HARRY KANE;CALLUM WILSON;2022-11-29 17:12:00;2;NÃO
FASE DE GRUPO;3ª RODADA;INGLATERRA;RICE;KALVIN PHILLIPS;2022-11-29 17:12:00;2;NÃO
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;BEN DAVIES;MORRELL;2022-11-29 17:13:00;2;NÃO
FASE DE GRUPO;3ª RODADA;INGLATERRA;SHAW;TRIPPIER;2022-11-29 17:19:00;2;NÃO
FASE DE GRUPO;3ª RODADA;EUA;MCKENNIE;ACOSTA;2022-11-29 17:20:00;2;NÃO
FASE DE GRUPO;3ª RODADA;IRÃ;NOUROLLAHI;TORABI;2022-11-29 17:25:00;2;NÃO
FASE DE GRUPO;3ª RODADA;IRÃ;HAJSAFI;JALALI;2022-11-29 17:25:00;2;NÃO
FASE DE GRUPO;3ª RODADA;INGLATERRA;RASHFORD;GREALISH;2022-11-29 17:29:00;2;NÃO
FASE DE GRUPO;3ª RODADA;IRÃ;GHOLIZADEH;ANSARIFARD;2022-11-29 17:32:00;2;NÃO
FASE DE GRUPO;3ª RODADA;EUA;DEST;MOORE;2022-11-29 17:32:00;2;NÃO
FASE DE GRUPO;3ª RODADA;EUA;SARGENT;WRIGHT;2022-11-29 17:32:00;2;NÃO
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;DANIEL JAMES;HARRY WILSON;2022-11-29 17:32:00;2;NÃO
FASE DE GRUPO;3ª RODADA;PAÍS DE GALES;ALLEN;COLWILL;2022-11-29 17:35:00;2;NÃO
FASE DE GRUPO;3ª RODADA;EUA;WEAH;ZIMMERMAN;2022-11-29 17:36:00;2;NÃO
FASE DE GRUPO;3ª RODADA;DINAMARCA;KRISTENSEN;BAH;2022-11-30 13:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;AUSTRÁLIA;GOODWIN;BACCUS;2022-11-30 13:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;DINAMARCA;BRAITHWAITE;DOLBERG;2022-11-30 13:13:00;2;NÃO
FASE DE GRUPO;3ª RODADA;DINAMARCA;JENSEN;DAMSGAARD;2022-11-30 13:13:00;2;NÃO
FASE DE GRUPO;3ª RODADA;TUNÍSIA;KHAZRI;JEBALI;2022-11-30 13:14:00;2;NÃO
FASE DE GRUPO;3ª RODADA;FRANÇA;VERETOUT;RABIOT;2022-11-30 13:18:00;2;NÃO
FASE DE GRUPO;3ª RODADA;FRANÇA;COMAN;MBAPPÉ;2022-11-30 13:18:00;2;NÃO
FASE DE GRUPO;3ª RODADA;FRANÇA;VARANE;SALIBA;2022-11-30 13:18:00;2;NÃO
FASE DE GRUPO;3ª RODADA;DINAMARCA;MAEHLE;SKOV;2022-11-30 13:23:00;2;NÃO
FASE DE GRUPO;3ª RODADA;DINAMARCA;SKOV OLSEN;CORNELIUS;2022-11-30 13:23:00;2;NÃO
FASE DE GRUPO;3ª RODADA;FRANÇA;FOFANA;GRIEZMANN;2022-11-30 13:27:00;2;NÃO
FASE DE GRUPO;3ª RODADA;AUSTRÁLIA;MCGREE;WRIGHT;2022-11-30 13:28:00;2;NÃO
FASE DE GRUPO;3ª RODADA;TUNÍSIA;BEN ROMDHANE;CHAALALI;2022-11-30 13:28:00;2;NÃO
FASE DE GRUPO;3ª RODADA;FRANÇA;GUENDOUZI;DEMBÉLÉ;2022-11-30 13:33:00;2;NÃO
FASE DE GRUPO;3ª RODADA;AUSTRÁLIA;DUKE;MACLAREN;2022-11-30 13:36:00;2;NÃO
FASE DE GRUPO;3ª RODADA;TUNÍSIA;SLIMANE;ABDI;2022-11-30 13:37:00;2;NÃO
FASE DE GRUPO;3ª RODADA;AUSTRÁLIA;LECKIE;HRUSTIC;2022-11-30 13:43:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ARÁBIA SAUDITA;AL-BULAYHI;SHARAHILI;2022-11-30 16:35:00;1;NÃO
FASE DE GRUPO;3ª RODADA;ARGENTINA;JULIÁN ÁLVAREZ;LAUTARO MARTÍNEZ;2022-11-30 17:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;MÉXICO;VEGA;ANTUNA;2022-11-30 17:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;POLÔNIA;FRANKOWSKI;KAMINSKI;2022-11-30 17:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;POLÔNIA;SWIDERSKI;SKORAS;2022-11-30 17:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ARÁBIA SAUDITA;AL-HASSAN;MADU;2022-11-30 17:01:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ARGENTINA;ACUÑA;TAGLIAFICO;2022-11-30 17:13:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ARGENTINA;DI MARÍA;PAREDES;2022-11-30 17:13:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ARÁBIA SAUDITA;AL-SHEHRI;AL-OBUD;2022-11-30 17:16:00;2;NÃO
FASE DE GRUPO;3ª RODADA;POLÔNIA;BIELIK;DAMIAN SZYMANSKI;2022-11-30 17:16:00;2;NÃO
FASE DE GRUPO;3ª RODADA;POLÔNIA;BERESZYNSKI;JEDRZEJCZYK;2022-11-30 17:26:00;2;NÃO
FASE DE GRUPO;3ª RODADA;MÉXICO;PINEDA;CARLOS RODRÍGUEZ;2022-11-30 17:31:00;2;NÃO
FASE DE GRUPO;3ª RODADA;MÉXICO;HENRY MARTÍN;RAÚL JIMÉNEZ;2022-11-30 17:31:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ARGENTINA;ENZO FERNÁNDEZ;PEZZELLA;2022-11-30 17:33:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ARGENTINA;MAC ALLISTER;ALMADA;2022-11-30 17:37:00;2;NÃO
FASE DE GRUPO;3ª RODADA;POLÔNIA;KRYCHOWIAK;PIATEK;2022-11-30 17:37:00;2;NÃO
FASE DE GRUPO;3ª RODADA;MÉXICO;JORGE SÁNCHEZ;KEVIN ÁLVAREZ;2022-11-30 17:40:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ARÁBIA SAUDITA;AL-GHANAM;BAHBRI;2022-11-30 17:42:00;2;NÃO
FASE DE GRUPO;3ª RODADA;MÉXICO;EDSON ÁLVAREZ;FUNES MORI;2022-11-30 17:43:00;2;NÃO
FASE DE GRUPO;3ª RODADA;BÉLGICA;MERTENS;LUKAKU;2022-12-01 13:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;BÉLGICA;TROSSARD;THORGAN HAZARD;2022-12-01 13:12:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CROÁCIA;KOVACIC;MAJER;2022-12-01 13:12:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CANADA;KAYE;HUTCHINSON;2022-12-01 13:14:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CANADA;LARIN;JONATHAN DAVID;2022-12-01 13:15:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CANADA;ADEKUGBE;KONÉ;2022-12-01 13:15:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CROÁCIA;KRAMARIC;PASALIC;2022-12-01 13:19:00;2;NÃO
FASE DE GRUPO;3ª RODADA;MORROCOS;BOUFAL;ABOUKHLAL;2022-12-01 13:19:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CROÁCIA;LIVAJA;PETKOVIC;2022-12-01 13:19:00;2;NÃO
FASE DE GRUPO;3ª RODADA;MORROCOS;SABIRI;AMALLAH;2022-12-01 13:20:00;2;NÃO
FASE DE GRUPO;3ª RODADA;BÉLGICA;CARRASCO;DOKU;2022-12-01 13:26:00;2;NÃO
FASE DE GRUPO;3ª RODADA;BÉLGICA;DENDONCKER;TIELEMANS;2022-12-01 13:27:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CANADA;HOILETT;WOTHERSPOON;2022-12-01 13:30:00;2;NÃO
FASE DE GRUPO;3ª RODADA;MORROCOS;ZIYECH;HAMDALLAH;2022-12-01 13:30:00;2;NÃO
FASE DE GRUPO;3ª RODADA;MORROCOS;OUNAHI;EL YAMIQ;2022-12-01 13:31:00;2;NÃO
FASE DE GRUPO;3ª RODADA;MORROCOS;HAKIMI;JABRANE;2022-12-01 13:39:00;2;NÃO
FASE DE GRUPO;3ª RODADA;BÉLGICA;MEUNIER;EDEN HAZARD;2022-12-01 13:42:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ALEMANHA;GORETZKA;KLOSTERMANN;2022-12-01 17:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;COSTA RICA;AGUILERA;SALAS;2022-12-01 17:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ESPANHA;AZPILICUETA;CARVAJAL;2022-12-01 17:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;JAPÃO;KUBO;DOAN;2022-12-01 17:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;JAPÃO;NAGATOMO;MITOMA;2022-12-01 17:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ALEMANHA;GÜNDOGAN;FÜLLKRUG;2022-12-01 17:09:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ESPANHA;NICO WILLIAMS;FERRÁN TORRES;2022-12-01 17:11:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ESPANHA;MORATA;ASENSIO;2022-12-01 17:11:00;2;NÃO
FASE DE GRUPO;3ª RODADA;JAPÃO;MAEDA;ASANO;2022-12-01 17:15:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ALEMANHA;THOMAS MÜLLER;HAVERTZ;2022-12-01 17:20:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ALEMANHA;RAUM;GÖTZE;2022-12-01 17:21:00;2;NÃO
FASE DE GRUPO;3ª RODADA;JAPÃO;KAMADA;TOMIYASU;2022-12-01 17:22:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ESPANHA;GAVI;ANSU FATI;2022-12-01 17:22:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ESPANHA;ÁLEX BALDE;ALBA;2022-12-01 17:22:00;2;NÃO
FASE DE GRUPO;3ª RODADA;JAPÃO;TANAKA;ENDO;2022-12-01 17:41:00;2;NÃO
FASE DE GRUPO;3ª RODADA;COSTA RICA;OVIEDO;CONTRERAS;2022-12-01 17:47:00;2;NÃO
FASE DE GRUPO;3ª RODADA;ALEMANHA;SÜLE;GINTER;2022-12-01 17:47:00;2;NÃO
FASE DE GRUPO;3ª RODADA;COSTA RICA;CONTRERAS;ROAN WILSON;2022-12-01 17:47:00;2;NÃO
FASE DE GRUPO;3ª RODADA;URUGUAI;BENTANCUR;VECINO;2022-12-02 12:33:00;1;NÃO
FASE DE GRUPO;3ª RODADA;GANA;ANDRÉ AYEW;BUKARI;2022-12-02 13:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;GANA;JORDAN AYEW;SULEMANA;2022-12-02 13:00:00;2;NÃO
FASE DE GRUPO;3ª RODADA;PORTUGAL;CRISTIANO RONALDO;ANDRÉ SILVA;2022-12-02 13:19:00;2;NÃO
FASE DE GRUPO;3ª RODADA;PORTUGAL;RÚBEN NEVES;JOÃO PALHINHA;2022-12-02 13:19:00;2;NÃO
FASE DE GRUPO;3ª RODADA;URUGUAI;PELLISTRI;DE LA CRUZ;2022-12-02 13:19:00;2;NÃO
FASE DE GRUPO;3ª RODADA;URUGUAI;LUIS SUÁREZ;CAVANI;2022-12-02 13:19:00;2;NÃO
FASE DE GRUPO;3ª RODADA;COREIA DO SUL;LEE JAE-SUNG;HWANG HEE-CHAN;2022-12-02 13:20:00;2;NÃO
FASE DE GRUPO;3ª RODADA;PORTUGAL;MATHEUS NUNES;RAFAEL LEÃO;2022-12-02 13:20:00;2;NÃO
FASE DE GRUPO;3ª RODADA;GANA;ABDUL SAMED;KYEREH;2022-12-02 13:25:00;2;NÃO
FASE DE GRUPO;3ª RODADA;GANA;IÑAKI WILLIAMS;SEMENYO;2022-12-02 13:27:00;2;NÃO
FASE DE GRUPO;3ª RODADA;URUGUAI;DARWIN NÚÑEZ;CANOBBIO;2022-12-02 13:33:00;2;NÃO
FASE DE GRUPO;3ª RODADA;URUGUAI;ARRASCAETA;MAXI GÓMEZ;2022-12-02 13:33:00;2;NÃO
FASE DE GRUPO;3ª RODADA;COREIA DO SUL;KIM YOUNG-GWON;SON JUN-HO;2022-12-02 13:36:00;2;NÃO
FASE DE GRUPO;3ª RODADA;PORTUGAL;VITINHA;WILLIAM CARVALHO;2022-12-02 13:37:00;2;NÃO
FASE DE GRUPO;3ª RODADA;PORTUGAL;JOÃO MÁRIO;BERNARDO SILVA;2022-12-02 13:37:00;2;NÃO
FASE DE GRUPO;3ª RODADA;COREIA DO SUL;CHO GUE-SUNG;CHO YU-MIN;2022-12-02 13:48:00;2;NÃO
FASE DE GRUPO;3ª RODADA;GANA;KUDUS;FATAWU;2022-12-02 13:50:00;2;NÃO
FASE DE GRUPO;3ª RODADA;BRASIL;FRED;BRUNO GUIMARÃES;2022-12-02 17:09:00;2;NÃO
FASE DE GRUPO;3ª RODADA;BRASIL;RODRYGO;EVERTON RIBEIRO;2022-12-02 17:09:00;2;NÃO
FASE DE GRUPO;3ª RODADA;BRASIL;ALEX TELLES;MARQUINHOS;2022-12-02 17:09:00;2;SIM
FASE DE GRUPO;3ª RODADA;SÉRVIA;VELJKOVIC;GUDELJ;2022-12-02 17:10:00;2;NÃO
FASE DE GRUPO;3ª RODADA;SÉRVIA;VLAHOVIC;JOVIC;2022-12-02 17:10:00;2;NÃO
FASE DE GRUPO;3ª RODADA;BRASIL;GABRIEL JESUS;PEDRO;2022-12-02 17:18:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CAMARÕES;MBEUMO;TOKO EKAMBI;2022-12-02 17:18:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CAMARÕES;KUNDE;NTCHAM;2022-12-02 17:22:00;2;NÃO
FASE DE GRUPO;3ª RODADA;SUIÇA;SOW;EDIMILSON FERNANDES;2022-12-02 17:22:00;2;NÃO
FASE DE GRUPO;3ª RODADA;SÉRVIA;SERGEJ MILINKOVIC-SAVIC;MAKSIMOVIC;2022-12-02 17:22:00;2;NÃO
FASE DE GRUPO;3ª RODADA;SUIÇA;SHAQIRI;ZAKARIA;2022-12-02 17:23:00;2;NÃO
FASE DE GRUPO;3ª RODADA;SÉRVIA;TADIC;DJURICIC;2022-12-02 17:32:00;2;NÃO
FASE DE GRUPO;3ª RODADA;SÉRVIA;ZIVKOVIC;RADONJIC;2022-12-02 17:32:00;2;NÃO
FASE DE GRUPO;3ª RODADA;BRASIL;ANTONY;RAPHINHA;2022-12-02 17:33:00;2;NÃO
FASE DE GRUPO;3ª RODADA;SUIÇA;VARGAS;FASSNACHT;2022-12-02 17:37:00;2;NÃO
FASE DE GRUPO;3ª RODADA;CAMARÕES;NGAMALEU;MBEKELI;2022-12-02 17:40:00;2;NÃO
FASE DE GRUPO;3ª RODADA;SUIÇA;EMBOLO;OKAFOR;2022-12-02 17:50:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 1;HOLANDA;KLAASSEN;BERGWIJN;2022-12-02 13:00:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 1;HOLANDA;DE ROON;KOOPMEINERS;2022-12-02 13:00:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 1;EUA;JESÚS FERREIRA;REYNA;2022-12-02 13:00:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 1;EUA;WEAH;AARONSON;2022-12-02 13:21:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 1;EUA;MCKENNIE;WRIGHT;2022-12-02 13:21:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 1;EUA;DEST;YEDLIN;2022-12-02 13:29:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 1;HOLANDA;MEMPHIS DEPAY;SIMONS;2022-12-02 13:36:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 1;EUA;ROBINSON;MORRIS;2022-12-02 13:46:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 1;HOLANDA;GAKPO;WEGHORST;2022-12-02 13:47:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 1;HOLANDA;AKÉ;DE LIGT;2022-12-02 13:47:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 2;ARGENTINA;PAPU GÓMEZ;LISANDRO MARTÍNEZ;2022-12-02 17:00:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 2;AUSTRÁLIA;BACCUS;HRUSTIC;2022-12-02 17:13:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 2;AUSTRÁLIA;MCGREE;GOODWIN;2022-12-02 17:13:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 2;ARGENTINA;JULIÁN ÁLVAREZ;LAUTARO MARTÍNEZ;2022-12-02 17:25:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 2;ARGENTINA;ACUÑA;TAGLIAFICO;2022-12-02 17:26:00;2;NÃO
OITAVAS DE FINAL;OITAVAS DE FINAL 2;AUSTRÁLIA;LECKIE;KUOL;2022-12-02 17:26:00;2;NÃO
