NOMFASE;NUMRODADA;NOMSELECAO;NOMJOGADOR;NOMPOSICAO;NUMCAMISA;DTHJOGO;DTHGOL;INDTEMPOJOGO;TPOFORMAGOL;NUMGOL;INDPENALTICONVERTIDO
OITAVAS DE FINAL;OITAVAS DE FINAL 3;JAPÃO;MITOMA;MEC;9;2022-12-05 12:00:00;2022-12-05 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
OITAVAS DE FINAL;OITAVAS DE FINAL 3;CROÁCIA;BROZOVIC;VOL;11;2022-12-05 12:00:00;2022-12-05 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
OITAVAS DE FINAL;OITAVAS DE FINAL 4;BRASIL;VINI JR.;ATA;20;2022-12-05 16:00:00;2022-12-05 16:06:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 4;BRASIL;NEYMAR;MEC;10;2022-12-05 16:00:00;2022-12-05 16:12:00;PRIMEIRO TEMPO;PÊNALTI;1;S
OITAVAS DE FINAL;OITAVAS DE FINAL 4;BRASIL;RICHARLISON;ATA;9;2022-12-05 16:00:00;2022-12-05 16:28:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 4;BRASIL;LUCAS PAQUETÁ;VOL;7;2022-12-05 16:00:00;2022-12-05 16:35:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 4;COREIA DO SUL;PAIK SEUNG-HO;VOL;8;2022-12-05 16:00:00;2022-12-05 17:30:00;SEGUNDO TEMPO;FORA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 5;INGLATERRA;HENDERSON;VOL;8;2022-12-04 16:00:00;2022-12-04 16:38:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 5;INGLATERRA;HARRY KANE;ATA;9;2022-12-04 16:00:00;2022-12-04 16:47:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 5;INGLATERRA;SAKA;MEC;17;2022-12-04 16:00:00;2022-12-04 17:11:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 6;FRANÇA;GIROUD;ATA;9;2022-12-04 12:00:00;2022-12-04 12:43:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 6;FRANÇA;MBAPPÉ;ATA;10;2022-12-04 12:00:00;2022-12-04 13:28:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 6;FRANÇA;MBAPPÉ;ATA;10;2022-12-04 12:00:00;2022-12-04 13:45:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 6;POLÔNIA;LEWANDOWSKI;ATA;9;2022-12-04 12:00:00;2022-12-04 13:52:00;SEGUNDO TEMPO;PÊNALTI;1;S
OITAVAS DE FINAL;OITAVAS DE FINAL 7;MORROCOS;ZIYECH;MEC;7;2022-12-06 12:00:00;2022-12-06 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
OITAVAS DE FINAL;OITAVAS DE FINAL 7;MORROCOS;SABIRI;MEC;11;2022-12-06 12:00:00;2022-12-06 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
OITAVAS DE FINAL;OITAVAS DE FINAL 7;MORROCOS;HAKIMI;LAD;2;2022-12-06 12:00:00;2022-12-06 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
OITAVAS DE FINAL;OITAVAS DE FINAL 7;ESPANHA;BUSQUETS;ZAD;5;2022-12-06 12:00:00;2022-12-06 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
OITAVAS DE FINAL;OITAVAS DE FINAL 7;ESPANHA;SOLER;VOL;19;2022-12-06 12:00:00;2022-12-06 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
OITAVAS DE FINAL;OITAVAS DE FINAL 7;MORROCOS;BENOUN;ZAD;24;2022-12-06 12:00:00;2022-12-06 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
OITAVAS DE FINAL;OITAVAS DE FINAL 7;ESPANHA;SARABIA;ATA;22;2022-12-06 12:00:00;2022-12-06 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
OITAVAS DE FINAL;OITAVAS DE FINAL 8;PORTUGAL;GONÇALO RAMOS;ATA;26;2022-12-06 16:00:00;2022-12-06 16:16:00;PRIMEIRO TEMPO;FORA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 8;PORTUGAL;PEPE;ZAD;3;2022-12-06 16:00:00;2022-12-06 16:32:00;PRIMEIRO TEMPO;CABEÇA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 8;PORTUGAL;GONÇALO RAMOS;ATA;26;2022-12-06 16:00:00;2022-12-06 17:05:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 8;PORTUGAL;RAPHAËL GUERREIRO;LAE;5;2022-12-06 16:00:00;2022-12-06 17:10:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 8;SUIÇA;AKANJI;ZAE;5;2022-12-06 16:00:00;2022-12-06 17:12:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 8;PORTUGAL;GONÇALO RAMOS;ATA;26;2022-12-06 16:00:00;2022-12-06 17:21:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
OITAVAS DE FINAL;OITAVAS DE FINAL 8;PORTUGAL;RAFAEL LEÃO;ATA;15;2022-12-06 16:00:00;2022-12-06 17:46:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;MOLINA;LAD;26;2022-12-09 16:00:00;2022-12-09 16:34:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;MESSI;ATA;10;2022-12-09 16:00:00;2022-12-09 17:27:00;SEGUNDO TEMPO;PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;WEGHORST;ATA;19;2022-12-09 16:00:00;2022-12-09 17:37:00;SEGUNDO TEMPO;CABEÇA;1; 
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;WEGHORST;ATA;19;2022-12-09 16:00:00;2022-12-09 17:55:00;SEGUNDO TEMPO;CABEÇA;1; 
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;WEGHORST;ATA;19;2022-12-09 16:00:00;2022-12-09 18:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;LUUK DE JONG;ATA;9;2022-12-09 16:00:00;2022-12-09 18:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;PAREDES;VOL;5;2022-12-09 16:00:00;2022-12-09 18:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;ENZO FERNÁNDEZ;VOL;24;2022-12-09 16:00:00;2022-12-09 18:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;MESSI;ATA;10;2022-12-09 16:00:00;2022-12-09 18:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;LAUTARO MARTÍNEZ;ATA;22;2022-12-09 16:00:00;2022-12-09 18:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 1;ARGENTINA;MONTIEL;LAD;4;2022-12-09 16:00:00;2022-12-09 18:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;BERGHUIS;VOL;11;2022-12-09 16:00:00;2022-12-09 18:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;KOOPMEINERS;VOL;20;2022-12-09 16:00:00;2022-12-09 18:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 1;HOLANDA;VAN DIJK;ZAG;4;2022-12-09 16:00:00;2022-12-09 18:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
QUARTAS DE FINAL;QUARTAS DE FINAL 2;BRASIL;NEYMAR;MEC;10;2022-12-09 12:00:00;2022-12-09 14:15:00;PRIMEIRO TEMPO PRORROGAÇÃO;CHUTE NA ÁREA;1; 
QUARTAS DE FINAL;QUARTAS DE FINAL 2;CROÁCIA;PETKOVIC;ATA;16;2022-12-09 12:00:00;2022-12-09 14:26:00;SEGUNDO TEMPO PRORROGAÇÃO;CHUTE NA ÁREA;1; 
QUARTAS DE FINAL;QUARTAS DE FINAL 2;CROÁCIA;ORSIC;ATA;18;2022-12-09 12:00:00;2022-12-09 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 2;CROÁCIA;VLASIC;MEC;13;2022-12-09 12:00:00;2022-12-09 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 2;CROÁCIA;MAJER;MEC;7;2022-12-09 12:00:00;2022-12-09 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 2;CROÁCIA;MODRIC;VOL;10;2022-12-09 12:00:00;2022-12-09 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 2;BRASIL;RODRYGO;ATA;21;2022-12-09 12:00:00;2022-12-09 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
QUARTAS DE FINAL;QUARTAS DE FINAL 2;BRASIL;PEDRO;ATA;25;2022-12-09 12:00:00;2022-12-09 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 2;BRASIL;CASEMIRO;VOL;5;2022-12-09 12:00:00;2022-12-09 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 2;BRASIL;MARQUINHOS;ZAD;4;2022-12-09 12:00:00;2022-12-09 14:31:00;DISPUTA PÊNALTI;DISPUTA POR PÊNALTI;0;N
QUARTAS DE FINAL;QUARTAS DE FINAL 3;FRANÇA;TCHOUAMÉNI;VOL;8;2022-12-10 16:00:00;2022-12-10 16:41:00;PRIMEIRO TEMPO;FORA ÁREA;1; 
QUARTAS DE FINAL;QUARTAS DE FINAL 3;INGLATERRA;HARRY KANE;ATA;9;2022-12-10 16:00:00;2022-12-10 17:08:00;SEGUNDO TEMPO;PÊNALTI;1;S
QUARTAS DE FINAL;QUARTAS DE FINAL 3;FRANÇA;GIROUD;ATA;9;2022-12-10 16:00:00;2022-12-10 17:32:00;SEGUNDO TEMPO;CABEÇA;1; 
QUARTAS DE FINAL;QUARTAS DE FINAL 3;INGLATERRA;HARRY KANE;ATA;9;2022-12-10 16:00:00;2022-12-10 17:38:00;SEGUNDO TEMPO;PÊNALTI;0;N
QUARTAS DE FINAL;QUARTAS DE FINAL 4;MORROCOS;EN-NESYRI;ATA;19;2022-12-10 12:00:00;2022-12-10 12:41:00;PRIMEIRO TEMPO;CABEÇA;1; 
SEMI FINAL;SEMI FINAL 1;ARGENTINA;MESSI;ATA;10;2022-12-13 16:00:00;2022-12-13 16:33:00;PRIMEIRO TEMPO;PÊNALTI;1;S
SEMI FINAL;SEMI FINAL 1;ARGENTINA;JULIÁN ÁLVAREZ;ATA;9;2022-12-13 16:00:00;2022-12-13 16:38:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
SEMI FINAL;SEMI FINAL 1;ARGENTINA;JULIÁN ÁLVAREZ;ATA;9;2022-12-13 16:00:00;2022-12-13 17:23:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
SEMI FINAL;SEMI FINAL 2;FRANÇA;THEO HERNÁNDEZ;LAE;22;2022-12-14 16:00:00;2022-12-14 16:04:00;PRIMEIRO TEMPO;CHUTE NA ÁREA;1; 
SEMI FINAL;SEMI FINAL 2;FRANÇA;KOLO MUANI;ATA;12;2022-12-14 16:00:00;2022-12-14 17:31:00;SEGUNDO TEMPO;CHUTE NA ÁREA;1; 
